puzzle_num,address,expected_value,actual_balance,tx_count,status
1,1BgGZ9tcN4rm9KBzDn7KprQz87SZ26SAMH,100000,0,0,unsolved
2,1CUNEBjYrCn2y1SdiUMohaKUi4wpP326Lb,200000,0,0,unsolved
3,19ZewH8Kk1PDbSNdJ97FP4EiCjTRaZMZQA,300000,0,0,unsolved
4,1EhqbyUMvvs7BfL8goY6qcPbD6YKfPqb7e,400000,0,0,unsolved
5,1E6NuFjCi27W5zoXg8TRdcSRq84zJeBW3k,500000,0,0,unsolved
6,1PitScNLyp2HCygzadCh7FveTnfmpPbfp8,600000,0,0,unsolved
7,1McVt1vMtCC7yn5b9wgX1833yCcLXzueeC,700000,0,0,unsolved
8,1M92tSqNmQLYw33fuBvjmeadirh1ysMBxK,800000,0,0,unsolved
9,1CQFwcjw1dwhtkVWBttNLDtqL7ivBonGPV,900000,0,0,unsolved
10,1LeBZP5QCwwgXRtmVUvTVrraqPUokyLHqe,1000000,0,0,unsolved
11,1PgQVLmst3Z314JrQn5TNiys8Hc38TcXJu,1100000,0,0,unsolved
12,1DBaumZxUkM4qMQRt2LVWyFJq5kDtSZQot,1200000,0,0,unsolved
13,1Pie8JkxBT6MGPz9Nvi3fsPkr2D8q3GBc1,1300000,0,0,unsolved
14,1ErZWg5cFCe4Vw5BzgfzB74VNLaXEiEkhk,1400000,0,0,unsolved
15,1QCbW9HWnwQWiQqVo5exhAnmfqKRrCRsvW,1500000,0,0,unsolved
16,1BDyrQ6WoF8VN3g9SAS1iKZcPzFfnDVieY,1600000,0,0,unsolved
17,1HduPEXZRdG26SUT5Yk83mLkPyjnZuJ7Bm,1700000,0,0,unsolved
18,1GnNTmTVLZiqQfLbAdp9DVdicEnB5GoERE,1800000,0,0,unsolved
19,1NWmZRpHH4XSPwsW6dsS3nrNWfL1yrJj4w,1900000,0,0,unsolved
20,1HsMJxNiV7TLxmoF6uJNkydxPFDog4NQum,2000000,0,0,unsolved
21,14oFNXucftsHiUMY8uctg6N487riuyXs4h,2100000,0,0,unsolved
22,1CfZWK1QTQE3eS9qn61dQjV89KDjZzfNcv,2200000,0,0,unsolved
23,1L2GM8eE7mJWLdo3HZS6su1832NX2txaac,2300000,0,0,unsolved
24,1rSnXMr63jdCuegJFuidJqWxUPV7AtUf7,2400000,0,0,unsolved
25,15JhYXn6Mx3oF4Y7PcTAv2wVVAuCFFQNiP,2500000,0,0,unsolved
26,1JVnST957hGztonaWK6FougdtjxzHzRMMg,2600000,0,0,unsolved
27,128z5d7nN7PkCuX5qoA4Ys6pmxUYnEy86k,2700000,0,0,unsolved
28,12jbtzBb54r97TCwW3G1gCFoumpckRAPdY,2800000,0,0,unsolved
29,19EEC52krRUK1RkUAEZmQdjTyHT7Gp1TYT,2900000,0,0,unsolved
30,1LHtnpd8nU5VHEMkG2TMYYNUjjLc992bps,3000000,0,0,unsolved
31,1LhE6sCTuGae42Axu1L1ZB7L96yi9irEBE,3100000,0,0,unsolved
32,1FRoHA9xewq7DjrZ1psWJVeTer8gHRqEvR,3200000,0,0,unsolved
33,187swFMjz1G54ycVU56B7jZFHFTNVQFDiu,3300000,0,0,unsolved
34,1PWABE7oUahG2AFFQhhvViQovnCr4rEv7Q,3400000,0,0,unsolved
35,1PWCx5fovoEaoBowAvF5k91m2Xat9bMgwb,3500000,0,0,unsolved
36,1Be2UF9NLfyLFbtm3TCbmuocc9N1Kduci1,3600000,0,0,unsolved
37,14iXhn8bGajVWegZHJ18vJLHhntcpL4dex,3700000,0,0,unsolved
38,1HBtApAFA9B2YZw3G2YKSMCtb3dVnjuNe2,3800000,0,0,unsolved
39,122AJhKLEfkFBaGAd84pLp1kfE7xK3GdT8,3900000,0,0,unsolved
40,1EeAxcprB2PpCnr34VfZdFrkUWuxyiNEFv,4000000,0,0,unsolved
41,1L5sU9qvJeuwQUdt4y1eiLmquFxKjtHr3E,4100000,0,0,unsolved
42,1E32GPWgDyeyQac4aJxm9HVoLrrEYPnM4N,4200000,0,0,unsolved
43,1PiFuqGpG8yGM5v6rNHWS3TjsG6awgEGA1,4300000,0,0,unsolved
44,1CkR2uS7LmFwc3T2jV8C1BhWb5mQaoxedF,4400000,0,0,unsolved
45,1NtiLNGegHWE3Mp9g2JPkgx6wUg4TW7bbk,4500000,0,0,unsolved
46,1F3JRMWudBaj48EhwcHDdpeuy2jwACNxjP,4600000,0,0,unsolved
47,1Pd8VvT49sHKsmqrQiP61RsVwmXCZ6ay7Z,4700000,0,0,unsolved
48,1DFYhaB2J9q1LLZJWKTnscPWos9VBqDHzv,4800000,0,0,unsolved
49,12CiUhYVTTH33w3SPUBqcpMoqnApAV4WCF,4900000,0,0,unsolved
50,1MEzite4ReNuWaL5Ds17ePKt2dCxWEofwk,5000000,0,0,unsolved
51,1NpnQyZ7x24ud82b7WiRNvPm6N8bqGQnaS,5100000,0,0,unsolved
52,15z9c9sVpu6fwNiK7dMAFgMYSK4GqsGZim,5200000,0,0,unsolved
53,15K1YKJMiJ4fpesTVUcByoz334rHmknxmT,5300000,0,0,unsolved
54,1KYUv7nSvXx4642TKeuC2SNdTk326uUpFy,5400000,0,0,unsolved
55,1LzhS3k3e9Ub8i2W1V8xQFdB8n2MYCHPCa,5500000,0,0,unsolved
56,17aPYR1m6pVAacXg1PTDDU7XafvK1dxvhi,5600000,0,0,unsolved
57,15c9mPGLku1HuW9LRtBf4jcHVpBUt8txKz,5700000,0,0,unsolved
58,1Dn8NF8qDyyfHMktmuoQLGyjWmZXgvosXf,5800000,0,0,unsolved
59,1HAX2n9Uruu9YDt4cqRgYcvtGvZj1rbUyt,5900000,0,0,unsolved
60,1Kn5h2qpgw9mWE5jKpk8PP4qvvJ1QVy8su,6000000,0,0,unsolved
61,1AVJKwzs9AskraJLGHAZPiaZcrpDr1U6AB,6100000,0,0,unsolved
62,1Me6EfpwZK5kQziBwBfvLiHjaPGxCKLoJi,6200000,0,0,unsolved
63,1NpYjtLira16LfGbGwZJ5JbDPh3ai9bjf4,6300000,0,0,unsolved
64,16jY7qLJnxb7CHZyqBP8qca9d51gAjyXQN,6400000,0,0,unsolved
65,18ZMbwUFLMHoZBbfpCjUJQTCMCbktshgpe,6500000,0,0,unsolved
66,13zb1hQbWVsc2S7ZTZnP2G4undNNpdh5so,6600000,0,0,unsolved
67,1BY8GQbnueYofwSuFAT3USAhGjPrkxDdW9,6700000,0,0,unsolved
68,1MVDYgVaSN6iKKEsbzRUAYFrYJadLYZvvZ,6800000,0,0,unsolved
69,19vkiEajfhuZ8bs8Zu2jgmC6oqZbWqhxhG,6900000,0,0,unsolved
70,19YZECXj3SxEZMoUeJ1yiPsw8xANe7M7QR,7000000,0,0,unsolved
71,1PWo3JeB9jrGwfHDNpdGK54CRas7fsVzXU,7100000,0,0,unsolved
72,1JTK7s9YVYywfm5XUH7RNhHJH1LshCaRFR,7200000,0,0,unsolved
73,12VVRNPi4SJqUTsp6FmqDqY5sGosDtysn4,7300000,0,0,unsolved
74,1FWGcVDK3JGzCC3WtkYetULPszMaK2Jksv,7400000,0,0,unsolved
75,1J36UjUByGroXcCvmj13U6uwaVv9caEeAt,7500000,0,0,unsolved
76,1DJh2eHFYQfACPmrvpyWc8MSTYKh7w9eRF,7600000,0,0,unsolved
77,1Bxk4CQdqL9p22JEtDfdXMsng1XacifUtE,7700000,0,0,unsolved
78,15qF6X51huDjqTmF9BJgxXdt1xcj46Jmhb,7800000,0,0,unsolved
79,1ARk8HWJMn8js8tQmGUJeQHjSE7KRkn2t8,7900000,0,0,unsolved
80,1BCf6rHUW6m3iH2ptsvnjgLruAiPQQepLe,8000000,0,0,unsolved
81,15qsCm78whspNQFydGJQk5rexzxTQopnHZ,8100000,0,0,unsolved
82,13zYrYhhJxp6Ui1VV7pqa5WDhNWM45ARAC,8200000,0,0,unsolved
83,14MdEb4eFcT3MVG5sPFG4jGLuHJSnt1Dk2,8300000,0,0,unsolved
84,1CMq3SvFcVEcpLMuuH8PUcNiqsK1oicG2D,8400000,0,0,unsolved
85,1Kh22PvXERd2xpTQk3ur6pPEqFeckCJfAr,8500000,0,0,unsolved
86,1K3x5L6G57Y494fDqBfrojD28UJv4s5JcK,8600000,0,0,unsolved
87,1PxH3K1Shdjb7gSEoTX7UPDZ6SH4qGPrvq,8700000,0,0,unsolved
88,16AbnZjZZipwHMkYKBSfswGWKDmXHjEpSf,8800000,0,0,unsolved
89,19QciEHbGVNY4hrhfKXmcBBCrJSBZ6TaVt,8900000,0,0,unsolved
90,1L12FHH2FHjvTviyanuiFVfmzCy46RRATU,9000000,0,0,unsolved
91,1EzVHtmbN4fs4MiNk3ppEnKKhsmXYJ4s74,9100000,0,0,unsolved
92,1AE8NzzgKE7Yhz7BWtAcAAxiFMbPo82NB5,9200000,0,0,unsolved
93,17Q7tuG2JwFFU9rXVj3uZqRtioH3mx2Jad,9300000,0,0,unsolved
94,1K6xGMUbs6ZTXBnhw1pippqwK6wjBWtNpL,9400000,0,0,unsolved
95,19eVSDuizydXxhohGh8Ki9WY9KsHdSwoQC,9500000,0,0,unsolved
96,15ANYzzCp5BFHcCnVFzXqyibpzgPLWaD8b,9600000,0,0,unsolved
97,18ywPwj39nGjqBrQJSzZVq2izR12MDpDr8,9700000,0,0,unsolved
98,1CaBVPrwUxbQYYswu32w7Mj4HR4maNoJSX,9800000,0,0,unsolved
99,1JWnE6p6UN7ZJBN7TtcbNDoRcjFtuDWoNL,9900000,0,0,unsolved
100,1KCgMv8fo2TPBpddVi9jqmMmcne9uSNJ5F,10000000,0,0,unsolved
101,1CKCVdbDJasYmhswB6HKZHEAnNaDpK7W4n,10100000,0,0,unsolved
102,1PXv28YxmYMaB8zxrKeZBW8dt2HK7RkRPX,10200000,0,0,unsolved
103,1AcAmB6jmtU6AiEcXkmiNE9TNVPsj9DULf,10300000,0,0,unsolved
104,1EQJvpsmhazYCcKX5Au6AZmZKRnzarMVZu,10400000,0,0,unsolved
105,1CMjscKB3QW7SDyQ4c3C3DEUHiHRhiZVib,10500000,0,0,unsolved
106,18KsfuHuzQaBTNLASyj15hy4LuqPUo1FNB,10600000,0,0,unsolved
107,15EJFC5ZTs9nhsdvSUeBXjLAuYq3SWaxTc,10700000,0,0,unsolved
108,1HB1iKUqeffnVsvQsbpC6dNi1XKbyNuqao,10800000,0,0,unsolved
109,1GvgAXVCbA8FBjXfWiAms4ytFeJcKsoyhL,10900000,0,0,unsolved
110,12JzYkkN76xkwvcPT6AWKZtGX6w2LAgsJg,11000000,0,0,unsolved
111,1824ZJQ7nKJ9QFTRBqn7z7dHV5EGpzUpH3,11100000,0,0,unsolved
112,18A7NA9FTsnJxWgkoFfPAFbQzuQxpRtCos,11200000,0,0,unsolved
113,1NeGn21dUDDeqFQ63xb2SpgUuXuBLA4WT4,11300000,0,0,unsolved
114,174SNxfqpdMGYy5YQcfLbSTK3MRNZEePoy,11400000,0,0,unsolved
115,1NLbHuJebVwUZ1XqDjsAyfTRUPwDQbemfv,11500000,0,0,unsolved
116,1MnJ6hdhvK37VLmqcdEwqC3iFxyWH2PHUV,11600000,0,0,unsolved
117,1KNRfGWw7Q9Rmwsc6NT5zsdvEb9M2Wkj5Z,11700000,0,0,unsolved
118,1PJZPzvGX19a7twf5HyD2VvNiPdHLzm9F6,11800000,0,0,unsolved
119,1GuBBhf61rnvRe4K8zu8vdQB3kHzwFqSy7,11900000,0,0,unsolved
120,17s2b9ksz5y7abUm92cHwG8jEPCzK3dLnT,12000000,0,0,unsolved
121,1GDSuiThEV64c166LUFC9uDcVdGjqkxKyh,12100000,0,0,unsolved
